TALLER,FECHA,CATEGORIA
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Septiembre 01, 2019","Conferencias y ponencias, Formación, Herramientas de autoformación, Oferta Educativa Profesional, Oportunidades y recursos, Oportunidades y recursos, Talleres y especialización"
Patrimonio Cultural,"Julio 41, 2019","Formación, Talleres y especialización"
Industrias culturales y artes,"Junio 55, 2019","Beneficiarios 2018, Danza, Estímulos Económicos, Festivales, Música, Talleres y especialización"
Interculturalidad,"Junio 53, 2019","cine, Cine de ficción, Talleres y especialización"
Defensa del Patrimonio,"Junio 37, 2019","Formación, Herramientas de autoformación, Talleres y especialización"
"","Abril 25, 2019","Conferencias y ponencias, Editoriales, Formación, Talleres y especialización"
"Artes escénicas, visuales y música","Abril 24, 2019","cine, Talleres y especialización"
Libro y la lectura,"Abril 59, 2019","Centros culturales, Conferencias y ponencias, Talleres y especialización"
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
ENCUENTRO CONECTA LIMA 2019: revisa la lista de seleccionados,,
Conferencias y ponencias,,
Formación,,
Herramientas de autoformación,,
Oferta Educativa Profesional,,
Oportunidades y recursos,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
HERRAMIENTAS DE GESTIÓN PARA LAS ARTES ESCÉNICAS ,,
Formación,,
Talleres y especialización,,
"",,
“PURA CALLE”: EXPERIENCIA DE SISTEMATIZACIÓN,,
Beneficiarios 2018,,
Danza,,
Estímulos Económicos,,
Festivales,,
Música,,
Talleres y especialización,,
"",,
Taller: “Apreciación y aplicación de herramientas de Cine Contemporáneo”,,
cine,,
Cine de ficción,,
Talleres y especialización,,
"",,
RECORDATORIO: Charla informativa y Taller de Formulación de Proyectos Artísticos,,
Formación,,
Herramientas de autoformación,,
Talleres y especialización,,
"",,
"Sobre humor, arte y sensibilidad: reseña sobre el taller de Catherine Meurisse, “Ilustración: Proyecto Creativo”",,
Conferencias y ponencias,,
Editoriales,,
Formación,,
Talleres y especialización,,
"",,
CINE VIVENCIAL AMAZÓNICO,,
cine,,
Talleres y especialización,,
"",,
"Actividades del centro cultural UDEP recital, conversatorio y curso",,
Centros culturales,,
Conferencias y ponencias,,
Talleres y especialización,,
 ,,
1,,
2,,
3,,
4,,
5,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
Infraestructura cultural,,
Teatros,,
Salas de Cine,,
Centros Culturales,,
GalerÃ­as,,
LibrerÃ­as,,
Archivos,,
Escuelas de Arte,,
EncuÃ©ntralo aquÃ­,,
Mapa cultural,,
EstadÃ­sticas,,
Socio-DemogrÃ¡ficas,,
Radio y TV,,
ProducciÃ³n Editorial,,
Internet,,
Cine y Audiovisuales,,
FormaciÃ³n,,
Oferta educativa profesional,,
Talleres y especializaciÃ³n,,
Recursos,,
Oportunidades,,
Becas,,
Concursos y Premios,,
Financiamientos para Proyectos,,
Residencias para artistas,,
Ministerio de Cultura,,
Subir,,
"",,
Licencia Creative Commons Atribución 4.0 Internacional,,
Ministerio de Cultura,"Marzo 46, 2019","Centros culturales, Conferencias y ponencias, Ingreso libre, Talleres y especialización"
Patrimonio Cultural,"Marzo 00, 2019","Formación, Herramientas de autoformación, Talleres y especialización"
Industrias culturales y artes,"Febrero 23, 2019","Convocatorias, Formación, Talleres y especialización, Teatro"
Interculturalidad,"Febrero 57, 2019","Cine y audiovisuales, Formación, Talleres y especialización"
Defensa del Patrimonio,"Diciembre 44, 2018","Formación, Talleres y especialización"
"","Diciembre 14, 2018","Formación, Ingreso libre, Talleres y especialización, Teatro"
"Artes escénicas, visuales y música","Diciembre 16, 2018","Convocatorias, Formación, Ingreso libre, Oportunidades y recursos, Talleres y especialización"
Libro y la lectura,"Noviembre 24, 2018","Formación, Ingreso libre, Oportunidades y recursos, Talleres y especialización"
"Cine, audiovisual y nuevos medios",,
Inicio,,
¿Qué es el SIICA?,,
Contacto,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
Noticias,,
"",,
"ACTIVIDADES DEL CENTRO CULTURAL UDEP: SEMINARIO, CURSO Y CICLO DE CINE “MI PELÍCULA FAVORITA”",,
Centros culturales,,
Conferencias y ponencias,,
Ingreso libre,,
Talleres y especialización,,
"",,
Corriente – Encuentro internacional de actores de la música,,
Formación,,
Herramientas de autoformación,,
Talleres y especialización,,
"",,
I ENCUENTRO DE LA RED DE TEATROS DEL PERÚ – Postula a las ayudas a la movilidad hasta el 17 de marzo,,
Convocatorias,,
Formación,,
Talleres y especialización,,
Teatro,,
"",,
"PROGRAMA DE ARTES EN LA ESCUELA – PASE 2019. Sábado 23 de febrero. Taller “Alfabetización en audio, video y medios digitales para el aula”.",,
Cine y audiovisuales,,
Formación,,
Talleres y especialización,,
"",,
BRITÁNICO ofrecerá talleres para adultos dedicados a los amantes del arte en todas sus disciplinas,,
Formación,,
Talleres y especialización,,
"",,
Talleres gratuitos de “Introducción al malabarismo” en el Ministerio de Cultura – 17 y 18 de diciembre.,,
Formación,,
Ingreso libre,,
Talleres y especialización,,
Teatro,,
"",,
"EL JAGLISTA – Espectáculo de malabarismo, magia y humor de Jonathan Sajoux para todo público – Miércoles 19 de diciembre – Ingreso libre.",,
Convocatorias,,
Formación,,
Ingreso libre,,
Oportunidades y recursos,,
Talleres y especialización,,
"",,
"PROGRAMA DE ARTES EN LA ESCUELA – PASE 2018. Sábado 15 de diciembre. Taller “Técnicas para no olvidar. Memoria, Arte y Educación” y clausura del PASE 2018",,
Formación,,
Ingreso libre,,
Oportunidades y recursos,,
Talleres y especialización,,
 ,,
1,,
2,,
3,,
4,,
5,,
6,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
 ,,
 ,,
Mapa cultural - Perú,,
Nodos culturales - Lima,,
Geoportal,,
Infocultura,,
Artes,,
Indicadores,,
Aportes,,
Estudios y reportes,,
Servicios,,
Recursos,,
